titulo,idioma,subtitulos,ano,duracion_minutos,categorias,sinopsis,tipo,link
Photoshoot,Norwegian,English (embedded),2018,10 min,"Drama, Short, European Production","A photo shoot begins as a professional meeting between two modern and successful women, but gradually develops into a power struggle with roots in their past.",Pelicula,https://filmzie.com/content/photoshoot-2018
Unlove Me,English,English,2018,96 min,"Drama, Thriller","Driven by ambition, a young cop's life takes a dark turn when he unintentionally kills an innocent man. Now, he must face the relentless pursuit of the man's determined daughter seeking justice and revenge.",Pelicula,https://filmzie.com/content/unlove-me-2018
CinemAbility: The Art of Inclusion,English,English,2012,97 min,Documentary,"Go behind-the-scenes with some of Hollywood's A-List Stars, Directors, Producers & Studio Heads as we explore the history of disability portrayals in the media and the impact honest media characterizations have on real life inclusive opportunities for marginalized minority groups.",Pelicula,https://filmzie.com/content/cinemability-the-art-of-inclusion-2012
Playback,English,English,2010,84 min,"Drama, Thriller","Haunted by the tragic loss of his daughter, a detective delves into a dark investigation that unravels a shocking truth uncomfortably tied to his own life.",Pelicula,https://filmzie.com/content/playback-2010
Mischief,Spanish,"English, Spanish",2007,112 min,"Drama, Thriller","A woman's life changes dramatically when she discovers in a tomb of one of his ancestors a written diary, but no the body.",Pelicula,https://filmzie.com/content/mischief-2007
Forgiving God,English,English,2022,87 min,"Drama, Family","Jon Moore, orphaned at 9 and raised in an abusive foster system, learns about faith and forgiveness from a mysterious girl he meets while placed in a final foster home. He falls in love only to learn that she harbors a tragedy of her own.",Pelicula,https://filmzie.com/content/forgiving-god-2022
Crazy Broke Asians,English,None,2012,81 min,"Comedy, Family, Romance","When Harry Ho, an unemployed Korean writer, plans to propose to Anita, his Chinese-American girlfriend, he must first win over her conservative parents. Add to the mix Anita's suspicious rapper brother, a handsome Mandarin-speaking doctor who wants Anita for himself, and an onslaught of kooky relatives gathered for Anita's 30th birthday party, and you've got a real Korean barbecue!",Pelicula,https://filmzie.com/content/crazy-broke-asians-2012
Perverse Woman,Spanish,"English, Spanish",2023,101 min,"Action, Adventure, Drama","Victoria, a fearless Latina in a Narco Cartel world, falls for her bodyguard and step-sister, leading to a risky love triangle. Amidst the dangerous Narco world, she must make tough choices for her survival. Will she opt for love or risk it all?",Pelicula,https://filmzie.com/content/perverse-woman-2023
Final 48,English,English,2021,94 min,Drama,"To receive their inheritance, business magnate Hudson Graham has mandated his surviving family members return to their homestead and spend his final hours together under one roof.",Pelicula,https://filmzie.com/content/final-48-2021
The Night of the Harvest,English,None,2024,125 min,"Horror, Thriller",Aubrey and her friends go geocaching in the woods behind an old cornfield where they are trapped and hunted by a masked woman in white.,Pelicula,https://filmzie.com/content/the-night-of-the-harvest-2024
Ben & Lacy,English,English,2023,113 min,"Comedy, Romance","After receiving a camera as a graduation gift, 18 year-old Ben decides to begin vlogging his life. This vlog captures him reconnecting and falling in love with his old classmate, Lacy.",Pelicula,https://filmzie.com/content/ben--lacy-2023
Hearts Aligned,Spanish,English (embedded),2023,51 min,"Drama, Comedy","A compilation of short films: Hotel Paraiso, Orizaba's Peak, My Brother. Three tales of unexpected connections unfold: from a young tailor's bond with a prostitute, to a bistro chat unearthing hidden biases, and a comic illustrator's return home after a family tragedy. Life's complexities and surprises in one compelling compilation.",Pelicula,https://filmzie.com/content/hearts-aligned-2023
Tony,Hindi,English,2019,114 min,Thriller,"Four psychology students stumble upon a serial killer confessing in a church's confession box. Their lives take a twisted turn as they join forces with the killer, TONY, embarking on a murderous spree together.",Pelicula,https://filmzie.com/content/tony
The Head & The Hand,Portuguese,English,2018,23 min,"Biography, Documentary, Short, European Production",Explore the intertwined lives of two disabled women on a remote Portuguese island in this meditative documentary.,Pelicula,https://filmzie.com/content/the-head--the-hand
The Pastry Chef,Italian,English,2012,98 min,Thriller,Achille Franzi's passion for pastry becomes a recipe for adventure when he stumbles upon a crime. Watch his life take a thrilling twist!,Pelicula,https://filmzie.com/content/the-pastry-chef-2012
Flat Out Days,English,English (embedded),2020,3 min,"Action, Sport, News, European Production","Insane speeds, insane jumps. Recap of the MTB festival.",Pelicula,https://filmzie.com/content/flat-out-days-2020
Borderline,Unknown,None,2021,100 min,"Biography, Drama, Romance","Craving that girl she was never able to replace and seeking inspiration in her presence, or absence, or rather fantasy, a troubled writer embarks on a stormy journey of love, passion and potentially perdition.",Pelicula,https://filmzie.com/content/borderline-2021
Arras: Scotland's Forgotten Battle,English,English,2020,61 min,"Documentary, War","The WWI Battle of Arras is considered to be one of the greatest in which Scottish soldiers ever fought, but it is sadly lesser known. A combination of battlefield tourism and untold heroics has meant that one of Scotland's finest hours has been largely forgotten.",Pelicula,https://filmzie.com/content/arras-scotlands-forgotten-battle-2020
Around Them,English,None,2015,52 min,"Documentary, European Production","A globetrotting woman interviews 15 women across 15 countries, capturing their perspectives on love, religion, national pride, and women's situations in their respective locales.",Pelicula,https://filmzie.com/content/around-them
Loud Places,English,English,2017,82 min,Drama,"A girl in a dead-end town struggles to overcome abuse, raise her young brother and find love in a mysterious, brooding nomad with a dangerous past.",Pelicula,https://filmzie.com/content/loud-places-2017
Friends Like These,English,English,2018,52 min,"Comedy, Drama","After his relationship falls apart, Sal and his two best friends decide to rent a house on the island, in an attempt to get him out of his slump. The girls' attempt to help Sal results in excessive drinking, late nights, and mild debauchery.",Pelicula,https://filmzie.com/content/friends-like-these-2018
Bill Tilghman and the Outlaws,English,Subtitles,2019,0 min,"Drama, History, Western","A movie company comes to Oklahoma to convince legendary lawman Bill Tilghman to star in a bank robbery silent film featuring real outlaws. Tilghman reluctantly agrees, not realizing everyone's lives will never be the same.",Serie,https://filmzie.com/content/bill-tilghman-and-the-outlaws-2019
Confessions of a Time Traveler: The Man from 3036,English,English,2020,37 min,"Short, Drama",The supposed true story of a time traveler from the year 3036 who explains the future in great detail.,Pelicula,https://filmzie.com/content/confessions-of-a-time-traveler-the-man-from-3036-2020
Wilderness to Table with Chef Bri,English,Subtitles,2021,0 min,Reality TV,"Join Chef Bri on Wilderness to Table, the ultimate cooking show for hunters and fishermen. Experience thrilling hunts and learn to recreate delicious dishes in every episode. Stream for free online!",Serie,https://filmzie.com/content/wilderness-to-table-with-chef-bri-2021
Nightclubbing: The Birth of Punk in NYC,English,None,2022,84 min,Documentary,Legendary nightclub Max's Kansas City and the 70s NY rock scene explored in a captivating documentary. Unveiling the vibrant history of this iconic venue and its impact on music culture.,Pelicula,https://filmzie.com/content/nightclubbing-the-birth-of-punk-in-nyc-2022
Frank and the Wondercat,English,None,2015,67 min,"Documentary, Biography, Comedy","Frank and the Wondercat: A captivating documentary exploring memory, loss, friendship, and an extraordinary bond between Frank and his performing house-cat.",Pelicula,https://filmzie.com/content/frank-and-the-wondercat
Broken Side Of Time,English,None,2013,125 min,Drama,"Dolce, a weary model, finds her career lethal. In a final road trip, she shoots with favorite photographers, shedding vices. BROKEN SIDE OF TIME exposes modeling's dark side, questioning fame's cost.",Pelicula,https://filmzie.com/content/broken-side-of-time
Time of Her Life,English,English,2005,80 min,"Drama, Fantasy","In a haunting English mansion, Ally and Emmett, separated by time, seek their lost loves. A supernatural drama intertwines romance, mystery, and suspense.",Pelicula,https://filmzie.com/content/time-of-her-life-2005
