titulo,idioma,subtitulos,ano,duracion_minutos,categorias,sinopsis,tipo,link
"Oprah: Past, Present and Future",English,No contiene subtitulos,2011,61,Documentary,"Explore Oprah Winfrey's inspiring journey in this documentary. Witness her trials, triumphs, and enduring influence. Discover the untold story of an American icon.",Pelicula,https://filmzie.com/content/oprah-past-present-and-future-2011
The Boy from the Wild,English,English,2019,40,"Documentary, Short, Adventure","Witness ""The Boy from the Wild"" documentary, inspired by the International Bestseller. Join Peter Meyer's extraordinary journey on a South African Game Reserve, honoring his father's dream. A moving, 35-year tale.",Pelicula,https://filmzie.com/content/the-boy-from-the-wild-2019
I've Just Had a Dream,Spanish,"German, English, Spanish, French, Italian, Portuguese",2014,7,"Drama, Short, European Production","In a world of two girls, two cultures, and two visions, a single dream unites. It is said that dreams are dreams, distinguished only by the dreamer.",Pelicula,https://filmzie.com/content/ive-just-had-a-dream
Time Expired,English,No contiene subtitulos,2011,92,Comedy,"Randall, a terminally ill meter maid, wants nothing more than to live out his final days in peace. Unfortunately, his family and friends have other ideas.",Pelicula,https://filmzie.com/content/time-expired-2011
The Pastry Chef,Italian,English,2012,98,Thriller,Achille Franzi's passion for pastry becomes a recipe for adventure when he stumbles upon a crime. Watch his life take a thrilling twist!,Pelicula,https://filmzie.com/content/the-pastry-chef-2012
D'artagnan is the Champion,English,English,2014,74,"Documentary, Comedy","In this unique southern comedy, documentarian Missy Palmer uncovers the intriguing life story of Daddy O', the rescue horse, and encounters a quirky cast from his sketchy past.",Pelicula,https://filmzie.com/content/dartagnan-is-the-champion-2014
Disappear,Spanish,"English, Spanish, Portuguese",2020,99,Drama,"A choral story that talks about the acceptance of death as a decisive step towards adulthood, and specifically about this ""passage ritual"" in the ""Millennial"" generation, since they have had to grow up seeing life through a screen.",Pelicula,https://filmzie.com/content/disappear-2020
Juan Brito: Tamia,Spanish,English,2019,23,"Documentary, Short","Juan Brito, a remarkable ethnographer, poet, writer, and master potter, left a profound legacy. His understanding of nature's elements and the human soul echoes through his pottery. Discover his wisdom and connection to the world.",Pelicula,https://filmzie.com/content/juan-brito-tamia-2019
Hot Mess in a Wedding Dress,English,English,2019,91,"Comedy, Romance, Drama","Bella has never been the proper textbook bride. When her fiance, Victor, heads out two days before the wedding to give her space, she tries to connect to the ceremony. Her mother suggests she wears the dress around the house to connect with it. When her merlot spills all over the dress, Bella must make a decision. Does she try to save it to be the perfect bride or truly make this ceremony hers?",Pelicula,https://filmzie.com/content/hot-mess-in-a-wedding-dress-2019
Of Sinners and Saints,English,No contiene subtitulos,2015,103,"Drama, Thriller","Leonardo Rossellini is an Italian priest from Rome, assigned to a parish in Payatas, a poor area of Metromanila, Philippines. Leonardo's mission is to counsel battered women and teach poor children. But soon his peace of mind is distraught by the encounter of a woman he used to love when he was still a seminarian. This young woman, Merlinda, is now married to a violent man. She also has a 6 years old child who is missing. Leonardo decides to help her find her son.",Pelicula,https://filmzie.com/content/of-sinners-and-saints-2015
July Rising,English,No contiene subtitulos,2019,82,Drama,"When sixteen-year old Andy inherits her grandfather's orchard and becomes the ward of her aunt from the city, she must navigate the path to her future from a small town where choice and agency have never been options for young women.",Pelicula,https://filmzie.com/content/july-rising-2019
Synchromy,Multiple languages,No contiene subtitulos,1971,7,"Animation, Short","Film's original soundtrack: Synthetic sound from geometric shapes photographed and processed through an optical sound head, with images as artistic renderings.",Pelicula,https://filmzie.com/content/synchromy
Men Who Wanted to Climb a Mountain Over 8.000 Meters,Spanish,English,2013,78,"Documentary, Sport, Action","This is the story of Raul and Pere, a mountaineer and filmmaker united by a common dream: to climb a mountain higher than 8,000 meters for the first time. For months, they travel the Himalayas in search of life experiences.",Pelicula,https://filmzie.com/content/men-who-wanted-to-climb-a-mountain-over-8000-meters-2013
You Like to Draw?,English,No contiene subtitulos,2020,111,Drama,Ellen needed a caregiver. Neena needed a job. Everything happens for a reason.,Pelicula,https://filmzie.com/content/you-like-to-draw-2020
Zombie Dawn,Spanish,English,2011,82,"Horror, War","The military enlists mercenaries & scientists to investigate a deadly epidemic in a remote mining region. A journey of terror, death & betrayal unfolds.",Pelicula,https://filmzie.com/content/zombie-dawn-2011
Lonely Boy (1963),English,No contiene subtitulos,1963,26,"Biography, Documentary, Short, Music",A captivating documentary tracing the journey of the teenage singing sensation. Explore his career through the lens of his iconic hit songs.,Pelicula,https://filmzie.com/content/lonely-boy-1963
Choppertown: The Sinners,English,English,2005,92,"Documentary, Action, Adventure",Custom chopper builder and punk rocker Kutty Noteboom builds his working man's chopper from the ground up with the help of good friend Rico and the rest of his biker brothers in this intimate award-winning documentary about renowned hot rod and motorcycle club the Sinners.,Pelicula,https://filmzie.com/content/choppertown-the-sinners-2005
Crown,English,No contiene subtitulos,2023,48,Documentary,This documentary explores the live experiences of Black women in Tulsa pertaining to racism and discrimination in the workplace and school. It is also a call to action for Oklahoma to join 19 other states to pass the Crown Act.,Pelicula,https://filmzie.com/content/crown-2023
Season's Greetings 2,English,English,2019,44,"Short, Horror","The second installment in the Season's Greetings franchise features bloody new holiday shorts from up and coming directors Brittany Blanton, Rob Collins and Travis Wilson. This Holiday special is sure to deck your halls! In Blood!",Pelicula,https://filmzie.com/content/seasons-greetings-2-2019
The Medallion of La Llorona,Spanish,"English, Portuguese",2020,81,Horror,"A Texas family moves into a house which is terrorized by the spirit of the infamous Mexican Weeping Woman. She is attracted by a cursed amulet, the Medallion.",Pelicula,https://filmzie.com/content/the-medallion-of-la-llorona-2020
Cordelias,Spanish,English,2014,25,"Comedy, Drama, Short, European Production","Ten incarcerated women, convicted of diverse crimes, collaborate to stage a theater play, providing therapeutic solace for their own frustrations and facilitating their societal reintegration.",Pelicula,https://filmzie.com/content/cordelias
Vessel,English,English,2014,86,"Documentary, Adventure, Biography","A fearless doctor challenges anti-abortion laws by providing safe abortions on a ship in international waters, leaving in her wake a network of emboldened activists who trust women to handle abortion on their own terms.",Pelicula,https://filmzie.com/content/vessel-2014
Eva,French,"English (embedded), German, English, Spanish, French, Italian",2016,9,"Drama, Short","Gabriel, a shy boy, decides to resort to the services of Eva, a transgender prostitute. He isn’t able to make love with her. Then, their meeting takes an unexpected turn, and becomes an unusual first time.",Pelicula,https://filmzie.com/content/eva-2016
Santorini Blue,English,No contiene subtitulos,2013,102,"Comedy, Drama","Felix and Alexandra's tender marriage unravels after a devastating betrayal. The story travels on an international journey of discovery from New York City to Santorini, Greece while addressing this very question.",Pelicula,https://filmzie.com/content/santorini-blue-2013
Colors of Love,Spanish,English (embedded),2023,66,"Documentary, Drama","A compilation of short films: The Man No One Knew, I am, About Queens and Other Colors, The Uncrowned Queen. Step into the lives of individuals navigating identity, performance, and self-acceptance in this captivating compilation. From a colorful street artist's introspection to a night watchman's soul-searching, the stories of queens, drags, and a unique duality create a powerful exploration of human complexities.",Pelicula,https://filmzie.com/content/colors-of-love-2023
Beloved,English,No contiene subtitulos,2017,0,"Action, European Production",Artistic behind the scenes of a nature/sports photographer Katja Pokorn.,Pelicula,https://filmzie.com/content/beloved-2017
American Kamasutra,English,English,2018,88,Drama,A young woman finds herself involved in a dangerous love triangle when she gets involved with the writer of a popular steamy novel.,Pelicula,https://filmzie.com/content/american-kamasutra-2018
I Love You Too,Dutch,No contiene subtitulos,2001,92,"Drama, Romance, European Production","When Reza enters writer Eric's life, she brings chaos and passion. As she moves in, her unpredictable behavior and self-destructive tendencies fuel jealousy and quixotic emotions.",Pelicula,https://filmzie.com/content/i-love-you-too-2001
Her Scent,Unknown,No contiene subtitulos,2024,77,Drama,Jen moved on to the next part four years after writing her first story. But she wasn’t aware that her dream was Athan’s nightmare since he had moved into a property where an unknown entity already existed and had taken over his dreams.,Pelicula,https://filmzie.com/content/her-scent-2024
Always the Same,Slovenian,No contiene subtitulos,2020,31,"Action, Sport, European Production","Skateboarding is always changing, but not really. Slovenian skateboarding video.",Pelicula,https://filmzie.com/content/always-the-same-2020
